date,location,indicator,min,median,mean,sd,max
2019-10-13,Administration,pm2.5,10.65,12.9,17.626344086021504,6.862461899260547,28.8
2019-10-13,Guardian Shelter,pm10,16.85,50.3,64.87047244094488,47.16769253990239,389.85
2019-10-13,Guardian Shelter,pm2.5,10.8,31.9,46.56059027777778,43.094104959132814,351.95
2019-10-13,Lighthouse Clinic,pm10,16.8,103.025,168.13543307086613,155.0610479180128,772.5
2019-10-13,Lighthouse Clinic,pm2.5,9.2,66.25,82.02007874015749,66.4330312324295,375.2
2019-10-13,Lions Sight,pm10,23.6,42.525,42.810629921259846,6.099005717973699,59.25
2019-10-13,Lions Sight,pm2.5,13.6,21.75,21.821456692913387,2.6576986099404007,29.9
2019-10-13,Malaria,pm10,12.8,37,34.83467741935484,10.352407692441135,56.8
2019-10-13,Malaria,pm2.5,7.8,17.125,15.981451612903225,4.389916891452758,29.85
2019-10-13,Mercy James,pm10,16.2,36,52.00681818181818,55.619005467005216,331.55
2019-10-13,Mercy James,pm2.5,7,10.75,19.01695804195804,19.48878222127819,119.25
2019-10-13,Ward 6B,pm10,36.3,46.3,47.40537634408602,6.351735078405599,72.35
2019-10-13,Ward 6B,pm2.5,10.65,12.9,17.626344086021504,6.862461899260547,28.8
2019-10-13,uMoyo,pm10,30.25,41.775,42.505511811023624,5.6636844261060375,59.25
2019-10-13,uMoyo,pm2.5,16.65,21.725,21.687204724409447,2.6537064208760803,29.9
2019-10-14,Administration,pm10,10.15,39.55,34.61872509960159,14.55810523276046,73.4
2019-10-14,Administration,pm2.5,3.2,11.15,9.954581673306773,5.108898993354908,24.5
2019-10-14,Guardian Shelter,pm10,13.1,58.8,78.02927536231884,72.78069178605747,635.1
2019-10-14,Guardian Shelter,pm2.5,0,24,30.71710144927536,26.904839524327112,159.7
2019-10-14,Lighthouse Clinic,pm10,32.2,74.35,130.17193675889328,136.55138286268019,916.95
2019-10-14,Lighthouse Clinic,pm2.5,18.75,37.025,64.44074803149606,67.88118487410591,474.15
2019-10-14,Lions Sight,pm10,5.85,28.05,29.615299684542588,15.187300896911298,106.2
2019-10-14,Lions Sight,pm2.5,2.8,9.9,10.787854889589905,6.1104459587103275,41.5
2019-10-14,Malaria,pm10,19.4,36.025000000000006,34.94067460317461,10.724611562597289,73.4
2019-10-14,Malaria,pm2.5,14.2,17.825000000000003,18.53035714285714,2.968386061177991,24.5
2019-10-14,Mercy James,pm10,9.45,38.725,33.638888888888886,13.690911268069593,60.1
2019-10-14,Mercy James,pm2.5,3.2,20.35,16.550595238095237,8.626727533145614,29.9
2019-10-14,Ward 6B,pm10,19.15,42.475,41.26057312252964,9.484054458817221,73.4
2019-10-14,Ward 6B,pm2.5,10.1,19.9,18.126482213438734,4.651155533702664,29.9
2019-10-14,uMoyo,pm10,16.7,46.900000000000006,140.327,180.81239134654967,916.95
2019-10-14,uMoyo,pm2.5,3.2,11.2,10.569521912350597,5.546699682740893,24.5
2019-10-15,Administration,pm10,10.1,19.45,19.16067193675889,4.292403397592276,30.9
2019-10-15,Administration,pm2.5,3.2,5.2,5.455731225296443,1.3617349894314044,8.6
2019-10-15,Guardian Shelter,pm10,27.3,61.375,80.27696850393701,56.327170262192645,388.15
2019-10-15,Guardian Shelter,pm2.5,15.8,33.675,47.81181102362205,40.1807415851884,263.7
2019-10-15,Lighthouse Clinic,pm10,27.3,61.375,80.27696850393701,56.327170262192645,388.15
2019-10-15,Lighthouse Clinic,pm2.5,15.8,33.675,47.81181102362205,40.1807415851884,263.7
2019-10-15,Lions Sight,pm10,20.95,29.95,32.386614173228345,8.18680841165386,90.5
2019-10-15,Lions Sight,pm2.5,11.3,13.6,13.788385826771654,1.3003089298316406,17.9
2019-10-15,Malaria,pm10,19.45,27.7,29.44291338582677,9.117141099838566,77.05
2019-10-15,Malaria,pm2.5,14.6,17.1,18.254527559055116,4.252970267945452,41
2019-10-15,Mercy James,pm10,8.6,16.4,16.590944881889765,4.675220259962457,30.9
2019-10-15,Mercy James,pm2.5,2.2,4.15,4.678149606299213,1.6657871292989943,9.95
2019-10-15,Ward 6B,pm10,21,29.275,29.761023622047244,5.0766064782892295,53.8
2019-10-15,Ward 6B,pm2.5,14.7,17.375,17.783464566929133,2.0742307028440585,27
2019-10-15,uMoyo,pm10,31.2,101.875,129.22007874015748,97.2611670452989,691.95
2019-10-15,uMoyo,pm2.5,2.2,4.15,4.678149606299213,1.6657871292989943,9.95
2019-10-16,Administration,pm10,17.35,38.675,38.298425196850395,11.655601270996428,73.4
2019-10-16,Administration,pm2.5,6.7,12.375,14.449212598425197,5.959787791842358,24.5
2019-10-16,Guardian Shelter,pm10,29.45,48.25,55.371259842519684,22.254778338164403,188.9
2019-10-16,Guardian Shelter,pm2.5,19.05,26.55,31.903543307086615,16.407339147746786,165.2
2019-10-16,Lighthouse Clinic,pm10,29.45,48.25,55.371259842519684,22.254778338164403,188.9
2019-10-16,Lighthouse Clinic,pm2.5,19.05,26.55,31.903543307086615,16.407339147746786,165.2
2019-10-16,Lions Sight,pm10,13.25,30.4,29.555686274509803,8.610894092168545,50.2
2019-10-16,Lions Sight,pm2.5,3.5,14.3,11.837254901960785,5.029818987691546,19.1
2019-10-16,Malaria,pm10,5.8,12.8,17.960271317829456,16.50616442812911,127.85
2019-10-16,Malaria,pm2.5,3.1,4.7,8.880813953488373,10.883261436285716,76.6
2019-10-16,Mercy James,pm10,14.25,32.05,31.325294117647058,7.510243491062324,58.7
2019-10-16,Mercy James,pm2.5,5.25,12.2,11.445686274509804,4.048407996084834,29.45
2019-10-16,Ward 6B,pm10,23.1,34.875,35.15492125984252,6.019954088444285,53.6
2019-10-16,Ward 6B,pm2.5,15.7,22.174999999999997,22.257874015748033,3.7520504286120464,32.65
2019-10-16,uMoyo,pm10,23.6,43.1,76.77509803921569,87.635554041584,518.75
2019-10-16,uMoyo,pm2.5,5.25,17.9,15.813529411764707,7.497614009847864,29.9
2019-10-17,Administration,pm10,23.6,42.525,42.810629921259846,6.099005717973699,59.25
2019-10-17,Administration,pm2.5,13.6,21.75,21.821456692913387,2.6576986099404007,29.9
2019-10-17,Guardian Shelter,pm10,34.9,49.825,70.29230769230769,54.97438074650353,283.65
2019-10-17,Guardian Shelter,pm2.5,22.4,29.85,48.30576923076923,48.70183636563015,241
2019-10-17,Lighthouse Clinic,pm10,9.3,28.975,39.18642857142857,33.48256490504813,283.65
2019-10-17,Lighthouse Clinic,pm2.5,2.85,6.925000000000001,15.970714285714285,26.593764472873023,241
2019-10-17,Lions Sight,pm10,10,18.924999999999997,19.42992125984252,4.386877484603568,34.65
2019-10-17,Lions Sight,pm2.5,3.4,5.8,5.904724409448819,1.447444703195579,10.55
2019-10-17,Malaria,pm10,8.75,46.1,147.7183794466403,173.05061796227508,901.95
2019-10-17,Malaria,pm2.5,3.5,20.450000000000003,80.24192913385826,115.439720610727,767.7
2019-10-17,Mercy James,pm10,18.55,37.2,37.856324110671935,10.178157027764751,72.35
2019-10-17,Mercy James,pm2.5,8.4,12.05,13.886363636363637,5.400047932821307,29.9
2019-10-17,Ward 6B,pm10,25.35,68.5,131.52081081081081,119.06168643173775,515.55
2019-10-17,Ward 6B,pm2.5,15.9,43.1,71.67135135135135,59.0145469889933,278.4
2019-10-17,uMoyo,pm10,16.2,31.25,34.09220183486239,11.760657039100874,106.2
2019-10-17,uMoyo,pm2.5,7,9.3,10.344151376146788,4.646598703144814,41.5
2019-10-18,Administration,pm10,12.8,33.45,35.38461538461539,13.540876696024142,106.2
2019-10-18,Administration,pm2.5,8.1,11.4,13.590811965811966,5.912648385103311,41.5
2019-10-18,Guardian Shelter,pm10,34.3,66.45,109.59110429447853,91.74326411178161,461.35
2019-10-18,Guardian Shelter,pm2.5,18.7,42.8,82.11963190184049,81.15267170312401,390.6
2019-10-18,Lighthouse Clinic,pm10,17,28.1,32.42914979757085,17.274238317124695,168.15
2019-10-18,Lighthouse Clinic,pm2.5,5.25,8.3,10.282186234817814,6.597246783291281,73.1
2019-10-18,Lions Sight,pm10,18.4,50.325,46.65416666666667,15.455377630752455,92.35
2019-10-18,Lions Sight,pm2.5,5.7,23.7,18.601388888888888,8.151243889601421,29.5
2019-10-18,Malaria,pm10,30.9,62.45,104.04175824175825,74.3700906426188,313.05
2019-10-18,Malaria,pm2.5,10.25,26.25,43.236996336996334,36.33837661769641,179.45
2019-10-18,Mercy James,pm10,10.8,24.275,29.281976744186046,12.732686221371686,72.85
2019-10-18,Mercy James,pm2.5,6.4,10.7,10.650193798449612,2.139741147941698,16.1
2019-10-18,Ward 6B,pm10,31.35,85.75,108.4955938697318,75.26301478131796,372.65
2019-10-18,Ward 6B,pm2.5,19.4,47,58.20785440613027,36.079272837124144,170.25
2019-10-18,uMoyo,pm10,13.9,34.5,65.23301158301159,81.4387094227653,476.6
2019-10-18,uMoyo,pm2.5,6.7,12.6,34.78320463320463,48.50071183207163,278.4
2019-10-19,Administration,pm10,20.6,28.55,29.297976878612715,4.584660211539809,49.4
2019-10-19,Administration,pm2.5,11,14.15,14.832369942196532,3.248589790938362,31.4
2019-10-19,Guardian Shelter,pm10,38,52.475,62.76397637795276,30.7503316530756,278.6
2019-10-19,Guardian Shelter,pm2.5,20.6,27.4,36.95531496062992,27.013300071084377,231.3
2019-10-19,Lighthouse Clinic,pm10,11.2,30.549999999999997,50.74885496183206,57.04000258796968,470.8
2019-10-19,Lighthouse Clinic,pm2.5,7.8,13.55,21.418320610687022,23.99833343998735,203.6
2019-10-19,Lions Sight,pm10,33.6,53.2,53.39232283464567,8.894608556959202,80.5
2019-10-19,Lions Sight,pm2.5,14.9,22.95,21.83562992125984,3.3043808801105703,26.75
2019-10-19,Malaria,pm10,13.4,21.275,25.332283464566927,17.609922449523268,143.7
2019-10-19,Malaria,pm2.5,9.9,13.075,15.077952755905512,8.146917149040629,71.8
2019-10-19,Mercy James,pm10,10.55,15.850000000000001,18.18523622047244,7.023948906731497,62.7
2019-10-19,Mercy James,pm2.5,6.2,7.8,9.066338582677165,5.0094711462928965,49.6
2019-10-19,Ward 6B,pm10,17.35,31.15,71.8557939914163,75.2094646716672,448.2
2019-10-19,Ward 6B,pm2.5,11.3,17.3,37.89763948497854,36.271527864539834,220.25
2019-10-19,uMoyo,pm10,29.95,45.325,94.19094488188976,101.33535643167832,515.55
2019-10-19,uMoyo,pm2.5,22.05,28.4,49.32224409448819,43.60863232802893,245.9
2019-10-20,Administration,pm10,16.8,22.9,23.492716535433072,4.2847320750431255,54.5
2019-10-20,Administration,pm2.5,10.3,12.1,12.4746062992126,1.6073616595110423,19.7
2019-10-20,Guardian Shelter,pm10,12.6,54.225,79.3455078125,101.73042158479215,699.4
2019-10-20,Guardian Shelter,pm2.5,6.5,27.35,54.43125,87.43380151325243,627.6
2019-10-20,Lighthouse Clinic,pm10,11.8,25.025,54.850787401574806,79.1654673748219,551.95
2019-10-20,Lighthouse Clinic,pm2.5,6.95,10.8,24.51692913385827,37.41647336495059,263.55
2019-10-20,Lions Sight,pm10,20.15,36.9,37.48686274509804,6.949305604634087,56.85
2019-10-20,Lions Sight,pm2.5,8.3,14.7,14.49470588235294,2.4304339660949315,19.6
2019-10-20,Malaria,pm10,13,20.975,28.457086614173228,20.165718302125754,130
2019-10-20,Malaria,pm2.5,9.5,12.4,15.972047244094489,9.820946706463584,66.75
2019-10-20,Mercy James,pm10,9.9,19,18.58627450980392,4.1867253476847655,28.45
2019-10-20,Mercy James,pm2.5,6.3,10.3,9.359607843137255,2.1385696529615688,14.85
2019-10-20,Ward 6B,pm10,11.1,22.85,26.22624521072797,20.646529110455134,198.45
2019-10-20,Ward 6B,pm2.5,7.1,9.85,11.30632183908046,9.034717668094288,94.9
2019-10-20,uMoyo,pm10,12.6,44.3,42.24232283464567,10.531329606406072,100.65
2019-10-20,uMoyo,pm2.5,8.65,17.1,20.24291338582677,9.416299098469414,90
2019-10-21,Administration,pm10,14.8,20.95,21.87924901185771,5.588355437628394,82.35
2019-10-21,Administration,pm2.5,8.9,10.45,10.503162055335968,0.806687008686182,13.55
2019-10-21,Guardian Shelter,pm10,8.75,28.200000000000003,43.27224409448819,44.50440542304503,274.75
2019-10-21,Guardian Shelter,pm2.5,5.8,15.375,31.43051181102362,40.175780319029805,245.95
2019-10-21,Lighthouse Clinic,pm10,7.9,17.475,41.16338582677165,73.75874851274766,621.7
2019-10-21,Lighthouse Clinic,pm2.5,5.6,8.45,18.325984251968503,37.053032366129536,343.8
2019-10-21,Lions Sight,pm10,15.9,23.95,24.59251968503937,4.659456696772397,53.5
2019-10-21,Lions Sight,pm2.5,6.35,7.9,8.086614173228346,0.9417091689315279,13.5
2019-10-21,Malaria,pm10,13.4,40.349999999999994,38.96574803149606,9.900556339994196,59.25
2019-10-21,Malaria,pm2.5,9.5,21.6,20.528149606299213,4.423708239274505,29.9
2019-10-21,Mercy James,pm10,15.9,23.95,24.59251968503937,4.659456696772397,53.5
2019-10-21,Mercy James,pm2.5,6.35,7.9,8.086614173228346,0.9417091689315279,13.5
2019-10-21,Ward 6B,pm10,11.2,26.625,27.97755905511811,9.582025144819093,54.95
2019-10-21,Ward 6B,pm2.5,7.1,9.925,10.778543307086615,2.7939096390612943,20.1
2019-10-21,uMoyo,pm10,22.75,30.65,31.244300518134715,5.255383514871692,53.8
2019-10-21,uMoyo,pm2.5,14.8,18.6,18.78834196891192,2.10997293306846,24.95
2019-10-22,Administration,pm10,15.35,21.9,22.16958762886598,2.9746733760791173,30.85
2019-10-22,Administration,pm2.5,8.3,9.3,9.381701030927836,0.4730977106614748,10.75
2019-10-22,Guardian Shelter,pm10,18.4,65.9,87.36749999999999,87.56782796041612,632.3
2019-10-22,Guardian Shelter,pm2.5,7.5,33.2,61.01357142857143,81.31137457105955,548.2
2019-10-22,Lighthouse Clinic,pm10,9.5,96,153.21830708661417,149.4793057758347,713.25
2019-10-22,Lighthouse Clinic,pm2.5,5.4,28.325000000000003,47.34271653543307,48.72586862056357,224.8
2019-10-22,Lions Sight,pm10,20.4,31.55,32.767114093959734,6.897467640990875,60.2
2019-10-22,Lions Sight,pm2.5,7.4,10,9.823154362416107,1.508360971586656,13
2019-10-22,Malaria,pm10,12.8,36.45,40.454597701149424,20.187387600931114,106.2
2019-10-22,Malaria,pm2.5,8.1,16.5,18.007471264367815,7.861665634863723,41.5
2019-10-22,Mercy James,pm10,15.35,21.9,22.145572916666666,2.9752502090032107,30.85
2019-10-22,Mercy James,pm2.5,8.3,9.3,9.37421875,0.4696823189068514,10.75
2019-10-22,Ward 6B,pm10,30.8,37.15,39.17272727272727,7.720018252451339,50.7
2019-10-22,Ward 6B,pm2.5,16.35,17.65,17.668181818181818,1.0796464067630496,19.1
2019-10-23,Administration,pm10,29.15,37.025,37.69563953488372,4.749062221772221,60.8
2019-10-23,Administration,pm2.5,13.9,15.525,16.011627906976745,1.5114702655563856,20.1
2019-10-23,Guardian Shelter,pm10,42.85,113.8,120.7990625,42.181543279676106,267.15
2019-10-23,Guardian Shelter,pm2.5,21.7,61.474999999999994,65.0503125,27.027096522612453,198.5
2019-10-23,Lighthouse Clinic,pm10,54,302.1,282.42619047619047,144.18541675482268,603.55
2019-10-23,Lighthouse Clinic,pm2.5,18.95,91.95,88.09523809523809,47.40844045305093,210.1
2019-10-23,Lions Sight,pm10,31.4,47.05,47.444047619047616,8.268524492987368,76.75
2019-10-23,Lions Sight,pm2.5,11,18.775,18.463690476190475,2.493498746626858,22.85
2019-10-23,Malaria,pm10,17.35,26.35,36.30613496932515,40.325538263039874,355.2
2019-10-23,Malaria,pm2.5,11.4,14.1,19.807975460122698,21.38595862061953,182.1
2019-10-23,Mercy James,pm10,15.95,24.65,25.404242424242426,4.50910463118993,39.75
2019-10-23,Mercy James,pm2.5,7.9,10.7,10.792727272727273,1.4641264621328025,16.05
2019-10-23,Ward 6B,pm10,23.4,38.375,39.59753086419753,8.981682191188549,68.2
2019-10-23,Ward 6B,pm2.5,11.6,14.5,14.571604938271605,1.4401936177547188,18.2
2019-10-23,uMoyo,pm10,28.3,38.725,39.1490625,5.633367213274064,54
2019-10-23,uMoyo,pm2.5,19.8,25.175,25.774375,3.156295433697529,33.2
2019-10-24,Administration,pm10,24.4,33.2,35.02047244094488,7.050623985871505,73.45
2019-10-24,Administration,pm2.5,10.4,13.6,13.26535433070866,1.6159165317521405,16.9
2019-10-24,Guardian Shelter,pm10,23.35,79.1,103.43425196850394,75.71625814226887,388.3
2019-10-24,Guardian Shelter,pm2.5,8.4,37.825,61.19114173228346,65.02231321390637,345.65
2019-10-24,Lighthouse Clinic,pm10,13.1,267.9,315.71763285024156,240.0656291045828,950.8
2019-10-24,Lighthouse Clinic,pm2.5,4,113.05,142.76315789473685,121.13380120671295,544.95
2019-10-24,Lions Sight,pm10,9.6,20.425,26.443089430894307,11.864067384596868,53.6
2019-10-24,Lions Sight,pm2.5,5.5,7.65,10.572560975609756,4.937646835464947,25.2
2019-10-24,Malaria,pm10,14.1,36.375,54.50255905511811,44.63468961627007,255
2019-10-24,Malaria,pm2.5,8.9,17.725,26.08996062992126,21.130199797368334,120
2019-10-24,Mercy James,pm10,9.6,19.275,20.413976377952757,5.498522217515802,48.35
