date,location,min,max
2019-10-30,uMoyo,1.4499234303215929,2.172687861271677
2019-10-31,Guardian Shelter,1.4492219492219494,2.2483560177397157
2019-10-31,Lighthouse Clinic,1.2848629320619787,1.9248725957586719
2019-10-31,Lions Sight,2.173157579388856,2.7803267292318385
2019-10-31,Malaria,1.3680528565876409,1.6719261685025306
2019-10-31,Mercy James,1.7256169212690953,2.601578947368421
2019-10-31,Ward 6B,1.2848629320619787,1.9248725957586719
2019-10-31,uMoyo,1.655323819978046,1.655323819978046
2019-11-01,Administration,2.0220655838185717,2.779836015791072
2019-11-01,Guardian Shelter,1.2395692407597814,2.93299562514391
2019-11-01,Lighthouse Clinic,2.3444279030199917,2.895182820661637
2019-11-01,Lions Sight,2.4,3.536485097636177
2019-11-01,Malaria,1.6123901213897025,2.1898846495119786
2019-11-01,Mercy James,1.8816730875068794,4.366568914956012
2019-11-01,Ward 6B,1.7962529274004684,2.7625396825396824
2019-11-01,uMoyo,1.3990925231801146,2.049028468142793
2019-11-02,Administration,1.9811207671561284,2.541071994925468
2019-11-02,Guardian Shelter,1.678884873515746,4.04582651391162
2019-11-02,Lighthouse Clinic,2.1616161616161618,3.322243346007604
2019-11-02,Lions Sight,1.6083281152160303,3.3141072740631894
2019-11-02,Malaria,1.7666179693206723,2.1790262172284645
2019-11-02,Mercy James,2.344353518821604,3.7615582191780823
2019-11-02,Ward 6B,1.9873861247372109,3.3393863494051343
2019-11-02,uMoyo,1.4424990245805696,3.9279935275080904
2019-11-03,Administration,1.832488479262673,3.1993900114372855
2019-11-03,Guardian Shelter,1.4981973123566044,3.900371287128713
2019-11-03,Lighthouse Clinic,2.4382127905298105,4.956043956043955
2019-11-03,Lions Sight,1.5257589696412144,2.4327326068734285
2019-11-03,Malaria,1.8866083445491248,2.5854330708661415
2019-11-03,Mercy James,1.495352767215885,3.8971078976640716
2019-11-03,Ward 6B,1.6535113174695297,3.3427588842185707
2019-11-03,uMoyo,1.4891703377386196,3.6085089773614363
2019-11-04,Administration,1.4668958031837915,2.2038055937643284
